Date : 2024-06-22 20:07:12
Directory : c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1
Total : 167 files,  16704 codes, 256 comments, 415 blanks, all 17375 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\perfil\comerciante\comerciante.component.ts                                 | TypeScript         |        112 |          8 |         15 |        135 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\perfil\perfil.service.ts                                                    | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\perfil\supervisor\supervisor.component.css                                  | CSS                |          8 |          0 |          1 |          9 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\perfil\supervisor\supervisor.component.html                                 | HTML               |         92 |         21 |          3 |        116 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\perfil\supervisor\supervisor.component.ts                                   | TypeScript         |         98 |          5 |         12 |        115 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\producto\producto.component.css                                             | CSS                |         18 |          0 |          4 |         22 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\producto\producto.component.html                                            | HTML               |         73 |         10 |          4 |         87 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\producto\producto.component.ts                                              | TypeScript         |         69 |         38 |         14 |        121 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\producto\producto.service.ts                                                | TypeScript         |         42 |          1 |          5 |         48 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\environments\environment.ts                                                                   | TypeScript         |          5 |          0 |          1 |          6 |
